estimate,p.value,conf.low,conf.high,method,alternative,annotation,padj,log_or,log_ci.lo,log_ci.hi,direction,source,model
1.8647021609803576,2.550088913493183e-17,1.6267865040017284,2.1283996429591325,Fisher's Exact Test for Count Data,two.sided,1_TssA,3.0601066961918193e-16,0.6231013411362603,0.48660659897627445,0.7553703559892326,Age-Hypermethylated,CHMM,chron_signif
9.652705418260146,0,8.827037570037252,10.540711717098919,Fisher's Exact Test for Count Data,two.sided,10_TssBiv,0,2.267238230282842,2.177819462292463,2.3552450661749362,Age-Hypermethylated,CHMM,chron_signif
6.726537620452589,1.4381339120284768e-193,6.073390259198645,7.435178460576577,Fisher's Exact Test for Count Data,two.sided,11_BivFlnk,2.732454432854106e-192,1.9060605417996839,1.8039169762040748,2.0062225823915854,Age-Hypermethylated,CHMM,chron_signif
2.2595909849290865,6.958102162697554e-12,1.8151946354177542,2.781906514099009,Fisher's Exact Test for Count Data,two.sided,12_EnhBiv,7.65391237896731e-11,0.8151838167854432,0.5961926991120907,1.0231364890901191,Age-Hypermethylated,CHMM,chron_signif
6.101691748482296,0,5.7127671976082315,6.513089317584833,Fisher's Exact Test for Count Data,two.sided,13_ReprPC,0,1.808566068545567,1.7427035293248219,1.8738138932096506,Age-Hypermethylated,CHMM,chron_signif
0.31341990910548106,1.6509518802382515e-83,0.27072574305534675,0.3610853332129942,Fisher's Exact Test for Count Data,two.sided,14_ReprPCWk,2.8066181964050273e-82,-1.1602114248957842,-1.3066489887846133,-1.0186409684912314,Age-Hypermethylated,CHMM,chron_signif
0.16732233556457177,2.142208760149589e-245,0.14467094288811294,0.19256150668637953,Fisher's Exact Test for Count Data,two.sided,15_Quies,4.284417520299178e-244,-1.7878331738361144,-1.9332934748522832,-1.6473396610345068,Age-Hypermethylated,CHMM,chron_signif
1.225545148130794,0.00263111947859042,1.0722321315999457,1.3952870443957937,Fisher's Exact Test for Count Data,two.sided,2_TssAFlnk,0.0131555973929521,0.20338576388743596,0.0697425798786541,0.33310016069825416,Age-Hypermethylated,CHMM,chron_signif
9.060439449685523,1.1062825483631661e-62,7.3807704150560145,11.026374272694122,Fisher's Exact Test for Count Data,two.sided,3_TxFlnk,1.7700520773810658e-61,2.203917623258889,1.9988780254478986,2.400290064149172,Age-Hypermethylated,CHMM,chron_signif
1.8027585559261907,7.888898160652337e-37,1.6537947788745797,1.9624107361179697,Fisher's Exact Test for Count Data,two.sided,4_Tx,1.0255567608848039e-35,0.589318022844901,0.5030725132532857,0.6741736848593101,Age-Hypermethylated,CHMM,chron_signif
