estimate,p.value,conf.low,conf.high,method,alternative,annotation,padj,log_or,log_ci.lo,log_ci.hi,direction,source,model
3.3130240605473085,1.863362749679649e-59,2.9193232480369513,3.747440106881121,Fisher's Exact Test for Count Data,two.sided,Simple_repeat,2.7950441245194735e-58,1.1978613857566176,1.071351825047771,1.3210729687137632,Age-Hypermethylated,RE,chron_signif
0.7409205454158491,0.19380126213357302,0.4633893315603434,1.1245544018167228,Fisher's Exact Test for Count Data,two.sided,Satellite,0.38760252426714603,-0.2998618855946337,-0.7691876893456726,0.11738686991907543,Age-Hypermethylated,RE,chron_signif
0.09726431608918847,0,0.08093718009425414,0.11599671236382594,Fisher's Exact Test for Count Data,two.sided,SINE,0,-2.330323098174458,-2.514081979599515,-2.1541934299685614,Age-Hypermethylated,RE,chron_signif
0.17862719832701435,2.4827691964747763e-40,0.12205564047967274,0.25257990692341814,Fisher's Exact Test for Count Data,two.sided,LINE,3.475876875064687e-39,-1.7224543358686368,-2.103278268711453,-1.3760276172675536,Age-Hypermethylated,RE,chron_signif
0.052690239286815356,3.101461985922557e-96,0.029469979755896478,0.08700197800736367,Fisher's Exact Test for Count Data,two.sided,LTR,5.582631574660602e-95,-2.9433250533627264,-3.5243831691721494,-2.441824424869182,Age-Hypermethylated,RE,chron_signif
0,0.27770040790810513,0,1.8193406326731496,Fisher's Exact Test for Count Data,two.sided,Retroposon,0.38760252426714603,-Inf,-Inf,0.5984741457058935,Age-Hypermethylated,RE,chron_signif
0.3553768926135839,5.019630284770897e-8,0.21677311041664746,0.5497860967044125,Fisher's Exact Test for Count Data,two.sided,DNA,4.5176672562938074e-7,-1.0345763833450028,-1.5289040465524415,-0.5982259914855919,Age-Hypermethylated,RE,chron_signif
0.4800337236068936,1.5671237575083985e-14,0.3843648472952514,0.5924897585984497,Fisher's Exact Test for Count Data,two.sided,Simple_repeat,1.880548509010078e-13,-0.7338989200337823,-0.9561630543110079,-0.5234216911881471,Age-Hypomethylated,RE,chron_signif
0.27338950445243376,3.990387088244635e-11,0.15899597643457025,0.43845798592351426,Fisher's Exact Test for Count Data,two.sided,Satellite,4.3894257970690985e-10,-1.2968577444107519,-1.838876382525048,-0.8244912849335603,Age-Hypomethylated,RE,chron_signif
0.7108528992879584,3.375364130615587e-40,0.6742234001039963,0.7491381474925585,Fisher's Exact Test for Count Data,two.sided,SINE,6.075655435108058e-39,-0.3412897632874374,-0.39419376882839324,-0.2888318698921742,Age-Hypomethylated,RE,chron_signif
1.1719400348606135,0.0020377533932955725,1.0592331092238187,1.293674989637768,Fisher's Exact Test for Count Data,two.sided,LINE,0.012226520359773434,0.15866052505115974,0.05754516442035156,0.25748699732674607,Age-Hypomethylated,RE,chron_signif
0.8398652216820979,1.7966296083798969e-4,0.7639137448950577,0.9215617648607982,Fisher's Exact Test for Count Data,two.sided,LTR,0.0014373036867039175,-0.1745138503967717,-0.26930039554124685,-0.081685477682404,Age-Hypomethylated,RE,chron_signif
0,0.024974051936001343,0,0.8718949759165614,Fisher's Exact Test for Count Data,two.sided,Retroposon,0.09989620774400537,-Inf,-Inf,-0.1370863027893513,Age-Hypomethylated,RE,chron_signif
1.1598848316779655,0.09815664846834046,0.9686436658609057,1.3784511402380193,Fisher's Exact Test for Count Data,two.sided,DNA,0.29446994540502136,0.1483207171531498,-0.031858468611732436,0.32096050670268095,Age-Hypomethylated,RE,chron_signif
3.500095741480253,2.4943411569048478e-62,3.0783368820881813,3.965707373566607,Fisher's Exact Test for Count Data,two.sided,Simple_repeat,3.9909458510477564e-61,1.2527903228298785,1.1243894777993804,1.3776842436050514,Age-Hypermethylated,RE,eq2_m_signif
0,1.7479881619896906e-12,0,0.13320161605285114,Fisher's Exact Test for Count Data,two.sided,Satellite,1.5731893457907216e-11,-Inf,-Inf,-2.0158913884205343,Age-Hypermethylated,RE,eq2_m_signif
0.046626654221174235,0,0.0352567112813741,0.06054437340563198,Fisher's Exact Test for Count Data,two.sided,SINE,0,-3.0655829223730175,-3.345099376884951,-2.8043787380632867,Age-Hypermethylated,RE,eq2_m_signif
0.09026735160532008,2.8881860921017247e-50,0.05047518697592183,0.14903878889443312,Fisher's Exact Test for Count Data,two.sided,LINE,4.0434605289424146e-49,-2.404979438694238,-2.9862734104627697,-1.9035486787656133,Age-Hypermethylated,RE,eq2_m_signif
0.026554931065746877,1.480204994517358e-98,0.010657881175272322,0.054779544094363884,Fisher's Exact Test for Count Data,two.sided,LTR,2.5163484906795084e-97,-3.6285398210159876,-4.541455644046378,-2.904438437665154,Age-Hypermethylated,RE,eq2_m_signif
0,0.2726380810916974,0,1.968179045946386,Fisher's Exact Test for Count Data,two.sided,Retroposon,0.5452761621833948,-Inf,-Inf,0.6771087731230506,Age-Hypermethylated,RE,eq2_m_signif
0.24936531146547847,2.3985361467710506e-10,0.13261326655596054,0.4270428044688134,Fisher's Exact Test for Count Data,two.sided,DNA,1.9188289174168405e-9,-1.388836343358991,-2.0203181567933535,-0.8508710261200298,Age-Hypermethylated,RE,eq2_m_signif
0.6104405421381299,0.007514586940555775,0.4013395949202743,0.8906589076507799,Fisher's Exact Test for Count Data,two.sided,Simple_repeat,0.0601166955244462,-0.493574382249429,-0.9129473399423733,-0.11579374450158819,Age-Hypomethylated,RE,eq2_m_signif
0.6688449699346593,0.2405429107349468,0.32011111214691634,1.2332417704194734,Fisher's Exact Test for Count Data,two.sided,Satellite,0.7216287322048404,-0.4022029797372974,-1.1390871179980602,0.20964628802570198,Age-Hypomethylated,RE,eq2_m_signif
0.7758190827998834,6.64017468227669e-7,0.6986001414359518,0.8599935393380506,Fisher's Exact Test for Count Data,two.sided,SINE,9.960262023415034e-6,-0.2538359267022409,-0.35867674415315365,-0.15083040216041746,Age-Hypomethylated,RE,eq2_m_signif
1.877952849221877,1.853647503781961e-12,1.5889557594502821,2.205940131801003,Fisher's Exact Test for Count Data,two.sided,LINE,3.33656550680753e-11,0.6301822735602789,0.4630770454113463,0.7911537816602376,Age-Hypomethylated,RE,eq2_m_signif
1.4326754476755046,5.219670560397802e-6,1.2293034806254617,1.661540005235844,Fisher's Exact Test for Count Data,two.sided,LTR,7.307538784556923e-5,0.3595436386694226,0.20644773307530714,0.5077448863052794,Age-Hypomethylated,RE,eq2_m_signif
0,0.6314447412192665,0,3.626913512355998,Fisher's Exact Test for Count Data,two.sided,Retroposon,0.7216287322048404,-Inf,-Inf,1.2883820145121827,Age-Hypomethylated,RE,eq2_m_signif
1.7302680008338787,5.464974720135969e-4,1.271377710582367,2.3031904058846804,Fisher's Exact Test for Count Data,two.sided,DNA,0.006011472192149566,0.548276310288596,0.24010112396989788,0.8342952947482265,Age-Hypomethylated,RE,eq2_m_signif
5.755963580599506,0,5.370593203088179,6.163443754791172,Fisher's Exact Test for Count Data,two.sided,Simple_repeat,0,1.7502364617986252,1.6809383685442683,1.818635672437041,Age-Hypermethylated,RE,eq3_age_signif
0.4797516332977072,4.830113415554826e-6,0.3275246959309648,0.6788102276056619,Fisher's Exact Test for Count Data,two.sided,Satellite,2.415056707777413e-5,-0.7344867396234014,-1.116191819327034,-0.3874136785498618,Age-Hypermethylated,RE,eq3_age_signif
1.327027540829325,3.3608654242425424e-38,1.2721079854495756,1.3839989407556776,Fisher's Exact Test for Count Data,two.sided,SINE,5.713471221212322e-37,0.28294150933916995,0.24067535553598438,0.32497709184524104,Age-Hypermethylated,RE,eq3_age_signif
0.620237183820749,2.8703775122131177e-15,0.5437778703520403,0.7046170550704612,Fisher's Exact Test for Count Data,two.sided,LINE,4.305566268319677e-14,-0.4776533195487397,-0.6092144420729336,-0.35010080804512067,Age-Hypermethylated,RE,eq3_age_signif
0.4978781650637552,2.8935243537123844e-41,0.4430735225420042,0.5577996386346481,Fisher's Exact Test for Count Data,two.sided,LTR,5.497696272053531e-40,-0.6973998803551571,-0.8140195576015817,-0.5837554516293167,Age-Hypermethylated,RE,eq3_age_signif
0,0.02705351795952482,0,0.808846063702883,Fisher's Exact Test for Count Data,two.sided,Retroposon,0.05410703591904964,-Inf,-Inf,-0.21214665975362454,Age-Hypermethylated,RE,eq3_age_signif
0.6635138517585172,1.0499991622997414e-4,0.5274206461497082,0.8243110326124953,Fisher's Exact Test for Count Data,two.sided,DNA,3.149997486899224e-4,-0.4102055486252042,-0.6397568587876362,-0.1932073535325846,Age-Hypermethylated,RE,eq3_age_signif
0.7183580330134735,4.149630679484303e-9,0.6379681072308525,0.8062819704714207,Fisher's Exact Test for Count Data,two.sided,Simple_repeat,3.319704543587443e-8,-0.3307871809980075,-0.4494669855531976,-0.2153217583604399,Age-Hypomethylated,RE,eq3_age_signif
1.9544970771057355,1.718361636988316e-21,1.7169630006824605,2.2170207175223675,Fisher's Exact Test for Count Data,two.sided,Satellite,2.2338701280848108e-20,0.670132910780701,0.5405570328668872,0.7961642754359638,Age-Hypomethylated,RE,eq3_age_signif
1.1242280139941503,7.646187602662461e-14,1.090380538316913,1.1589396879561122,Fisher's Exact Test for Count Data,two.sided,SINE,6.881568842396215e-13,0.11709659032370898,0.08652675303557908,0.1475055250019621,Age-Hypomethylated,RE,eq3_age_signif
0.739298711128605,2.4855589098293176e-14,0.6806695933494475,0.8017574991546725,Fisher's Exact Test for Count Data,two.sided,LINE,2.4855589098293177e-13,-0.30205322978783483,-0.3846782692050351,-0.2209490869700188,Age-Hypomethylated,RE,eq3_age_signif
